Parameter Name,Frequency
MCV,45
MCHC,43
MCH,39
Monocytes,33
Lymphocytes,32
Eosinophils,31
Basophils,24
PLATELET COUNT,23
Neutrophils,23
Platelet Count,22
HAEMOGLOBIN,17
ALBUMIN,17
GLOBULIN,16
PCV,16
EOSINOPHILS,16
NEUTROPHILS,15
Date,13
MPV,13
Page,13
MONOCYTE,13
LYMPHOCYTES,13
BASOPHILS,13
MONOCYTES,12
DMCR,12
Haemoglobin,12
POTASSIUM,12
e Haryana Government  All Lab Test ICU  Ambulance Facility,12
MC-,12
TOTAL PROTEIN,12
ALKALINE PHOSPHATASE,11
Dharuhera Chungi Rewari-,11
CREATININE,11
RBC,11
RDW,11
Globulin,11
BLOOD UREA,11
NEUTROPHIL,10
EOSINOPHIL,10
BASOPHIL,10
Printed By,10
SODIUM,10
PUS CELLS,10
SGOT,10
UHID,10
CHLORIDE,10
ISO,10
INR,9
Accession No.,9
SGPT,9
Bill Date,9
SPECIFIC GRAVITY,9
TOTAL LEUCOCYTE COUNT,8
Timing,8
SUGAR(GM),8
Albumin,8
AG Ratio,8
SERUM CREATININE,8
CIN No.  U,8
ROW,7
Potassium,7
PCT,7
Booking Centre,7
CALCIUM,7
Total WBC Count,7
In normal healthy individuals CRP levels generally do notexceed,7
TOTAL R.B.C. COUNT,7
TOTAL PROTEINS,7
AG RATIO,7
Sunday,7
Sodium,7
LYMPHOCYTE,7
Transaction No.,7
RBC COUNT,7
EPITHELIAL CELLS,7
Chloride,6
Polymorphs,6
INDIRECT BILIRUBIN,6
Alkaline Phosphatase,6
Ward             NICU -,6
Reg. No.         ADMIT-,6
NS-,6
BLOOD SUGAR RANDOM,6
clac,6
BILIRUBIN TOTAL,6
RDW-CV,6
PIN No,6
UHID  MR,6
CRP (QUANTITATIVE),6
mgdLChildren (,6
Checked By,6
S.G.,6
TLC,6
Uric Acid,6
Haryana Government  All Lab Test ICU  Ambulance Facility,6
SERUM URIC ACID,6
Patient Id                 SriNo.,6
Test,6
Blood Urea,6
Hemoglobin,5
Patient ld                 SriNo.,5
INDIRECT,5
CHECKED BY,5
MethodFLOW CYTOMETRY AND,5
cNa,5
Absolute Monocyte Count,5
SGPT (ALT),5
QUANTITY,5
eGFR,5
TOTAL,5
YMPHOCYTE,5
BICARBONATE,5
Absolute Lymphocyte Count,5
RBC Count,5
KANNADA,5
KJ-,5
P.C.V. Haematocrit Value,5
host defence and tissue repair. There is a lag time of,5
TOTAL LEUCOCYTE COUNT (TLC),5
COUNT,4
gt or,4
Ordered Loc,4
BILIRUBIN INDIRECTSerum,4
FCOHb,4
Absolute Neutrophil Count,4
Epithelial Cells,4
DIRECT BILIRUBIN,4
_ Neuberg Ehrlich Laboratory Private Limited                                                   Info,4
BILIRUBIN TOTAL Serum,4
Total Leucocyte Count,4
HAEMOGLOBIN (Hb),4
R.D.W,4
BASHOPHILS,4
Ward  Bed         CRITICAL CARECC,4
TOTAL WBC COUNT,4
BILIRUBIN DIRECT Serum,4
Reg Dt. Time,4
slightly less than (upto -,4
Col Dt. Time,4
S.G.P.T,4
Verified By,4
Creatinine,4
